mal_id,title_default,title_japanese,score,rank,popularity,season,year,genres
80,Kidou Senshi Gundam,機動戦士ガンダム,7.75,1108.0,1691,spring,1979.0,"Action, Drama, Sci-Fi"
85,Kidou Senshi Zeta Gundam,機動戦士Ζガンダム,7.89,808.0,2499,spring,1985.0,"Action, Drama, Romance, Sci-Fi"
86,Kidou Senshi Gundam ZZ,機動戦士ガンダムZZ,6.65,5963.0,3379,spring,1986.0,"Action, Comedy, Drama, Sci-Fi"
223,Dragon Ball,ドラゴンボール,7.97,677.0,149,winter,1986.0,"Action, Adventure, Comedy, Fantasy"
283,Akage no Anne,赤毛のアン,7.79,1020.0,3875,winter,1979.0,Drama
302,Mirai Shounen Conan,未来少年コナン,8.09,519.0,3126,spring,1978.0,"Adventure, Drama, Sci-Fi"
307,Kerokko Demetan,けろっこデメタン,5.97,9648.0,11768,winter,1973.0,"Comedy, Fantasy"
311,Ace wo Nerae!,エースをねらえ!,7.07,3892.0,5613,fall,1973.0,"Drama, Romance, Sports"
338,Versailles no Bara,ベルサイユのばら,8.34,229.0,2110,fall,1979.0,"Drama, Romance"
424,Dirty Pair,ダーティペア,7.21,3212.0,3871,summer,1985.0,"Adventure, Comedy, Sci-Fi"
501,Doraemon,ドラえもん,7.39,2332.0,4851,spring,1973.0,"Adventure, Comedy, Fantasy"
506,Glass no Kamen,ガラスの仮面,7.34,2525.0,6606,spring,1984.0,"Drama, Romance"
518,Mahou no Princess Minky Momo,魔法のプリンセス　ミンキーモモ,6.9,4662.0,6523,spring,1982.0,Fantasy
589,Ginga Nagareboshi Gin,銀牙　流れ星銀,8.02,616.0,4283,spring,1986.0,"Action, Adventure, Drama"
714,High School! Kimengumi,ハイスクール！奇面組,7.28,2828.0,8802,fall,1985.0,"Comedy, Romance"
729,Hiatari Ryoukou!,陽あたり良好！,6.99,4270.0,8125,spring,1987.0,"Comedy, Romance, Sports"
865,Kikou Senki Dragonar,機甲戦記ドラグナー,6.71,5630.0,7796,winter,1987.0,"Adventure, Sci-Fi"
924,Transformers: Choujin Master Force,トランスフォーマー・超神マスターフォース,6.63,6088.0,9550,spring,1988.0,"Action, Adventure, Sci-Fi"
925,Transformers: The☆Headmasters,トランスフォーマー ザ☆ヘッドマスターズ,6.4,7407.0,8981,summer,1987.0,"Action, Adventure, Sci-Fi"
926,Tatakae! Chou Robot Seimeitai Transformers Victory,戦え! 超ロボット生命体トランスフォーマーV[ビクトリー],6.65,5935.0,9650,spring,1989.0,"Action, Adventure, Sci-Fi"
929,Seisenshi Dunbine,聖戦士ダンバイン,7.04,4070.0,5672,winter,1983.0,"Action, Adventure, Drama, Fantasy, Sci-Fi"
930,Densetsu Kyojin Ideon,伝説巨神イデオン,7.06,3960.0,5121,spring,1980.0,"Action, Drama, Sci-Fi"
956,Daikuu Maryuu Gaiking,大空魔竜ガイキング,6.62,6128.0,10151,spring,1976.0,"Action, Adventure, Sci-Fi"
967,Hokuto no Ken,北斗の拳,7.96,694.0,1729,fall,1984.0,"Action, Drama, Sci-Fi"
1000,Uchuu Kaizoku Captain Herlock,宇宙海賊・キャプテンハーロック,7.68,1304.0,3657,spring,1978.0,"Action, Adventure, Drama, Sci-Fi"
1065,Touch,タッチ,7.98,667.0,3777,spring,1985.0,"Drama, Romance, Sports"
1068,Chou Denji Robo Combattler V,超電磁ロボ コンバトラーＶ,6.69,5715.0,9084,spring,1976.0,"Adventure, Sci-Fi"
1069,Chou Denji Machine Voltes V,超電磁マシーン ボルテスV,7.41,2209.0,6943,summer,1977.0,"Action, Adventure, Drama, Sci-Fi"
1087,Kimagure Orange☆Road,きまぐれオレンジ☆ロード,7.52,1816.0,3201,spring,1987.0,"Comedy, Drama, Romance"
1088,Macross,超時空要塞マクロス,7.89,810.0,1966,fall,1982.0,"Action, Romance, Sci-Fi"
1236,SF Saiyuuki Starzinger,ＳＦ西遊記 スタージンガー,6.94,4477.0,9947,spring,1978.0,"Action, Adventure, Sci-Fi"
1254,Saint Seiya,聖闘士星矢(セイントセイヤ),7.76,1105.0,1281,fall,1986.0,"Action, Adventure, Fantasy, Sci-Fi"
1264,Yoroiden Samurai Troopers,鎧伝サムライトルーパー,7.07,3889.0,5026,spring,1988.0,"Adventure, Sci-Fi"
1279,Taiyou no Ko Esteban,太陽の子エステバン,7.74,1157.0,5665,spring,1982.0,"Adventure, Sci-Fi"
1293,Urusei Yatsura,うる星やつら,7.71,1235.0,2266,fall,1981.0,"Comedy, Romance, Sci-Fi"
1333,Fushigi na Koala Blinky,ふしぎなコアラ ブリンキー,6.03,9363.0,13198,summer,1984.0,"Adventure, Comedy, Fantasy"
1337,Dororon Enma-kun,ドロロンえん魔くん,6.18,8561.0,8891,fall,1973.0,"Comedy, Fantasy, Horror, Supernatural"
1356,Hokuto no Ken 2,北斗の拳2,7.56,1649.0,4014,spring,1987.0,"Action, Drama, Sci-Fi"
1412,Lupin III,ルパン三世,7.62,1453.0,2065,fall,1971.0,"Action, Adventure, Comedy, Mystery"
1425,Lupin III: Part II,新・ルパン三世,7.76,1096.0,3806,fall,1977.0,"Action, Adventure, Comedy, Mystery"
1426,Lupin III: Part III,ルパン三世 - Part III,7.28,2843.0,4659,spring,1984.0,"Action, Adventure, Comedy"
1445,Mach GoGoGo,マッハＧｏＧｏＧｏ,6.68,5808.0,5359,spring,1967.0,Adventure
1448,Hyakujuu-Ou GoLion,百獣王ゴライオン,6.82,5066.0,5857,spring,1981.0,"Adventure, Sci-Fi"
1453,Maison Ikkoku,めぞん一刻,8.19,387.0,2548,spring,1986.0,"Comedy, Drama, Romance"
1458,Uchuu no Kishi Tekkaman,宇宙の騎士テッカマン,6.17,8612.0,9484,summer,1975.0,"Action, Adventure, Sci-Fi"
1470,City Hunter,シティーハンター,7.91,765.0,2393,spring,1987.0,"Action, Comedy, Mystery"
1471,City Hunter 2,シティーハンター2,8.06,550.0,4289,spring,1988.0,"Action, Comedy, Mystery"
1491,Ginga Tetsudou 999,銀河鉄道９９９,7.77,1068.0,3621,fall,1978.0,"Adventure, Drama, Sci-Fi"
1537,Genshi Shounen Ryuu,原始少年リュウ,6.27,8101.0,10367,fall,1971.0,"Action, Adventure, Sci-Fi"
1547,Obake no Q-tarou,オバケのＱ太郎,6.06,9222.0,13030,summer,1965.0,"Comedy, Slice of Life, Supernatural"
1548,Shin Taketori Monogatari: 1000-nen Joou,新竹取物語１０００年女王,7.11,3737.0,7867,spring,1981.0,"Drama, Mystery, Sci-Fi"
1550,Attack No.1,アタックNo.1,6.76,5364.0,6452,winter,1970.0,"Drama, Sports"
1572,Jungle Taitei,ジャングル大帝,6.58,6327.0,6962,fall,1965.0,Adventure
1638,Peter Pan no Bouken,ピーターパンの冒険,6.78,5259.0,8671,winter,1989.0,"Adventure, Fantasy"
1650,Uchuu Senkan Yamato,宇宙戦艦ヤマト,7.54,1731.0,4158,fall,1974.0,"Action, Adventure, Award Winning, Drama, Sci-Fi"
1651,Uchuu Senkan Yamato 2,宇宙戦艦ヤマト2,7.39,2319.0,6756,fall,1978.0,"Action, Adventure, Drama, Sci-Fi"
1652,Uchuu Senkan Yamato III,宇宙戦艦ヤマトⅢ,7.0,4233.0,7665,fall,1980.0,"Action, Adventure, Drama, Sci-Fi"
1661,Cutie Honey,キューティーハニー,6.4,7417.0,5197,fall,1973.0,"Action, Sci-Fi, Ecchi"
1663,Haha wo Tazunete Sanzenri,母をたずねて三千里,7.45,2086.0,6114,winter,1976.0,"Adventure, Drama, Slice of Life"
1666,Babel Nisei,バビル２世,6.23,8311.0,10845,winter,1973.0,"Adventure, Sci-Fi, Supernatural"
1737,Uchuu Senshi Baldios,宇宙戦士 バルディオス,6.49,6860.0,10112,summer,1980.0,"Action, Adventure, Drama, Sci-Fi"
1873,Plawres Sanshirou,プラレス３四郎,7.35,2482.0,9076,summer,1983.0,"Action, Adventure, Sci-Fi"
1972,Meitantei Holmes,名探偵ホームズ,7.38,2363.0,5830,fall,1984.0,"Action, Adventure, Comedy, Mystery"
1985,UFO Robo Grendizer,UFOロボ グレンダイザー,7.55,1685.0,5895,fall,1975.0,"Action, Sci-Fi"
1986,Wakusei Robo Danguard Ace,惑星ロボ ダンガードA[エース],6.06,9240.0,11275,spring,1977.0,Sci-Fi
2038,Mahou no Star Magical Emi,魔法のスター マジカルエミ,6.78,5250.0,8053,summer,1985.0,"Comedy, Slice of Life"
2039,Mahou no Yousei Persia,魔法の妖精 ペルシャ,6.79,5183.0,9200,summer,1984.0,Comedy
2043,Cat's Eye,キャッツ・アイ,7.21,3209.0,4684,summer,1983.0,"Action, Adventure, Comedy, Mystery, Romance"
2044,Mahou no Tenshi Creamy Mami,魔法の天使 クリィミーマミ,7.19,3308.0,5450,summer,1983.0,"Comedy, Fantasy, Romance, Sci-Fi"
2089,Choujikuu Seiki Orguss,超時空世紀オーガス,6.46,7047.0,7511,summer,1983.0,"Action, Adventure, Romance, Sci-Fi"
2116,Captain Tsubasa,キャプテン翼,7.34,2520.0,2310,fall,1983.0,Sports
2128,Yuusha Raideen,勇者ライディーン,6.41,7330.0,9754,spring,1975.0,"Action, Adventure, Sci-Fi"
2151,Nils no Fushigi na Tabi,ニルスのふしぎな旅,7.12,3659.0,7326,winter,1980.0,"Adventure, Fantasy"
2200,Muteki Choujin Zanbot 3,無敵超人サンボット３,6.97,4344.0,8132,fall,1977.0,"Action, Drama, Sci-Fi"
2203,Waga Seishun no Arcadia: Mugen Kidou SSX,わが青春のアルカディア・無限軌道ＳＳＸ,7.36,2439.0,7197,fall,1982.0,"Action, Adventure, Drama, Sci-Fi"
2221,Aishite Knight,愛してナイト,6.78,5220.0,6755,spring,1983.0,"Comedy, Romance"
2222,Dr. Slump: Arale-chan,Dr.スランプ・アラレちゃん,7.18,3376.0,5282,spring,1981.0,"Comedy, Sci-Fi"
